pk_anuncio_id,marca,modelo,precio,combustible,anyo_vehiculo,kilometraje,potencia,num_puertas,num_plazas,tipo_cambio,tipo_vehiculo,cilindrada_motor,color,provincia,etiqueta_eco,origen_anuncio,fecha_publicacion,anyomes_publicacion,fecha_carga,url
104339,KIA,Sorento,3200.0,Diésel,2002.0,311000,,5,,Manual,,,verde,Salamanca,,dataset kaggle,2021-01-07,202101,2021-01-15 00:00:00,859b6665234f98211908cdb221ec8347
104340,HYUNDAI,Coupé,1450.0,Gasolina,2002.0,130000,,3,,Manual,,,gris,Madrid,,dataset kaggle,2020-12-15,202012,2021-01-15 00:00:00,1fbfaebbeb43f8bf9ed9e97b1de3c0d0
104341,HYUNDAI,i30,12995.0,Diésel,2018.0,27000,110.0,5,,Manual,,,gris,Madrid,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,ab029a967fdce0b18feb9f5c02514c49
104342,NISSAN,QASHQAI,7900.0,Diésel,2010.0,127000,106.0,5,,Manual,,,gris,Castellón,,dataset kaggle,2020-11-25,202011,2021-01-15 00:00:00,3ec1af09112e9e0953d4ab3f9e94bbe8
104343,NISSAN,JUKE,12900.0,Gasolina,2018.0,42756,115.0,5,,Manual,,,azul,Valencia,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,18e5fda485575b2b1ae643e636a1cce2
104344,NISSAN,X-TRAIL,30900.0,Diésel,2019.0,6552,150.0,5,,Manual,,,blanco,Guipúzcoa,,dataset kaggle,2021-01-12,202101,2021-01-15 00:00:00,c2cde06e322dad32d6b5b228ba36d561
104345,TOYOTA,Yaris,6900.0,Diésel,2014.0,130400,,5,,Manual,,,blanco,Barcelona,,dataset kaggle,2020-12-22,202012,2021-01-15 00:00:00,b169c1dd88bf5180494ea86bda56d4d2
104346,KIA,Sportage,21900.0,Diésel,2017.0,79000,141.0,5,,Automático,,,rojo,Toledo,,dataset kaggle,2020-12-30,202012,2021-01-15 00:00:00,70060ecef758ed7f0ade18ba2d353e80
104347,NISSAN,X-TRAIL,28990.0,Diésel,2019.0,13828,150.0,5,,Manual,,,azul,Cantabria,,dataset kaggle,2020-12-26,202012,2021-01-15 00:00:00,5823087b570dc5427d1c72358314ac35
104348,NISSAN,JUKE,23299.0,Gasolina,2021.0,1,117.0,5,,Automático,,,negro,Barcelona,,dataset kaggle,2021-01-12,202101,2021-01-15 00:00:00,5862fecff7039cc58707c9b4076e1d81
104349,KIA,Sportage,21050.0,Diésel,2018.0,23798,115.0,5,,Manual,,,wd,Madrid,,dataset kaggle,2020-11-24,202011,2021-01-15 00:00:00,0ffe1d1a053a090fd7d7cf8b0c9694b1
104350,NISSAN,X-TRAIL,23800.0,Diésel,2018.0,24276,130.0,5,,Manual,,,blanco,Vizcaya,,dataset kaggle,2021-01-06,202101,2021-01-15 00:00:00,009dd76068423f4a0cd80d61b5130ada
104351,TOYOTA,Auris,13500.0,Gasolina,2017.0,40260,116.0,5,,Manual,,,blanco,Madrid,,dataset kaggle,2020-12-18,202012,2021-01-15 00:00:00,e88de0fab124fab7765f885610d186ab
104352,NISSAN,Terrano,10000.0,Diésel,2003.0,165000,,4,,Manual,,,blanco,León,,dataset kaggle,2020-11-23,202011,2021-01-15 00:00:00,df938502b78ff4e2f2b282b65a999cff
104353,NISSAN,QASHQAI,13500.0,Gasolina,2016.0,106000,115.0,5,,Automático,,,blanco,Navarra,,dataset kaggle,2021-01-01,202101,2021-01-15 00:00:00,e4fc1c8fefbbc906c5a89ebb0537e783
104354,NISSAN,QASHQAI,20490.0,Diésel,2018.0,27000,130.0,5,,Manual,,,rojo,Madrid,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,7fd3aa89a5445849f78158119236fb94
104355,NISSAN,QASHQAI,17900.0,Gasolina,2018.0,20000,115.0,5,,Manual,,,gris,Madrid,,dataset kaggle,2021-01-14,202101,2021-01-15 00:00:00,b5f014c641183bd1b0ebda75dd1d3d57
104356,NISSAN,Almera Tino,1150.0,Diésel,2002.0,170000,114.0,5,,Manual,,,gris,Barcelona,,dataset kaggle,2020-11-27,202011,2021-01-15 00:00:00,ec043776ac8c44c4944a64fdf5413447
104357,NISSAN,QASHQAI,18900.0,Diésel,2016.0,54499,110.0,5,,Manual,,,negro,Guipúzcoa,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,5b64b42bb2a7fb1497c3c4edd2ee4e95
104358,NISSAN,X-TRAIL,25400.0,Diésel,2018.0,36717,130.0,5,,Automático,,,gris,Alicante,,dataset kaggle,2021-01-15,202101,2021-01-15 00:00:00,376c7a55d9df0b1de63b97b134c9389f
104359,TOYOTA,Auris,9990.0,Gasolina,2014.0,106000,132.0,5,,Manual,,,blanco,Madrid,,dataset kaggle,2021-01-06,202101,2021-01-15 00:00:00,c4641a1163e67c85014c648a887d7fb3
104360,KIA,Sportage,13900.0,Gasolina,2016.0,144591,135.0,5,,Manual,,,blanco,Álava,,dataset kaggle,2021-01-14,202101,2021-01-15 00:00:00,2925e2d0be9255a573f81f48b52e1823
